example_id,problem,gold answer,classification,reasoning
58fed8b1f5,"What was the population of the Nicosia neighbourhood of Ayios Loukas in 2011, if its church was restored two years before an ethnographic museum in North Nicosia opened its doors, and the funeral of an Archbishop of Cyprus, who died in 1947, took place in Nicosia?",489,one-hop,"The question directly asks for the population of a specific Nicosia neighborhood in 2011, despite including additional historical context about a church restoration and funeral. The core request is a single factual data point (population in 2011) and does not require connecting multiple events/timeline reasoning. The extra details are irrelevant to the answer."
e16235c9d5,"How old was the founder of the International School of Traditional Aikido, who trained under a direct student of Morihei Ueshiba sent to France, when the Swedish aikido pioneer who was influenced by Sadateru Arikawa, received his 7th dan?",56,multi-hop,"The question requires connecting multiple entities and events across different contexts: identifying the founder of the International School of Traditional Aikido (trained under a student of Morihei Ueshiba in France), relating it to the Swedish pioneer influenced by Sadateru Arikawa, and determining the age at a specific event (7th dan award). This involves multiple steps of reasoning and cross-referencing information."
a0579c1528,"How many years after the 24th Vice President of Bolivia was elected by the 1938 National Convention was the forestry engineer, who later served as Minister of Hydrocarbons from 2019 to 2020, born?",32,multi-hop,"The question requires multiple steps: 1) identifying the 24th Vice President of Bolivia elected in 1938, 2) identifying the forestry engineer who became Minister of Hydrocarbons (2019-2020), 3) finding their birth year, and 4) calculating the year difference. This involves connecting distinct entities and properties across different contexts."
8271349feb,"Identify the dam that is located in the same prefecture as a rockfill dam completed in 1972, shares its completion year with a gravity dam in Gunma Prefecture, and serves the dual purposes of power generation and irrigation.",Naruko Dam,multi-hop,"The question requires multiple steps of reasoning, including identifying the prefecture of a 1972 rockfill dam, matching the completion year with a Gunma Prefecture gravity dam, and verifying dual-purpose functionality. These interconnected conditions necessitate multi-hop reasoning."
a14da28850,"What is the name of the city where an art academy initially rejected a landscape painter who later became a professor there and died of cholera; where another painter, who studied at the same academy starting on May 12, 1819, later became a general restorer at the Royal Museum in Berlin; and where a third painter, known for his homages to Albrecht Dürer, also studied at that same academy?",Munich,multi-hop,"The question requires connecting multiple pieces of information about three different painters and their shared art academy to determine the city. Each painter's history involves distinct facts that must be linked to identify the common city, necessitating multi-step reasoning."
fcd3092e86,"What is the name of the Indian district that has a comparatively cool and humid climate, a population of 1,586,625 according to the 2011 census, and was the constituency from which a future President of India was elected in 1980? This district's climate differs from the subtropical steppe climate of the second-largest city in Pakistan, and its 2011 population is significantly higher than the city known for Asia's largest grain market, which had a population of 128,130 in the same year.",Hoshiarpur district,multi-hop,"This question requires connecting multiple attributes (climate, population, political history) of an Indian district and comparing them with unrelated cities (second-largest in Pakistan and Asia's largest grain market). The answer demands synthesizing information across different contexts and data points, indicating multi-hop reasoning."
347421734e,"What Italian club, which reached the quarter-finals of the 1965–66 Coppa Italia, was defeated in the final of the European Cup season where the winning team became the first to lift the trophy with its current design?",Inter Milan,multi-hop,"The question requires connecting an Italian club's 1965–66 Coppa Italia quarter-final participation with a European Cup final where the winning team first received the current trophy design. This involves cross-referencing two distinct historical events, necessitating multi-hop reasoning."
e824c40b5e,"Identify the Australian comedic music trio whose 2003 show won The Age Critic's Choice Award at a festival, a festival also frequently attended by a comedian born in Melbourne in 1978 who was a finalist in a national competition whose winner is sent to another festival where the trio also performed.",GUD,multi-hop,"The question requires connecting multiple entities and events: identifying a trio based on a 2003 award, linking it to a comedian's birthplace/year and a national competition, and connecting the festivals. This necessitates multi-step reasoning across different knowledge points."
f1a0f25bc6,"What is the name of the Australian city where a Congregational minister, who was Dux of Newington College in 1888, had a three-year ministry, and where an Anglican bishop, who later presided over the Diocese of Gippsland, was previously an archdeacon? A different Anglican bishop, who was the sixth Bishop of Bendigo, also served as precentor in this same city.",Hobart,multi-hop,"The question requires connecting multiple entities (Congregational minister, Anglican bishops) with their respective roles and locations over time, necessitating multi-hop reasoning."
4b6c6a4e93,"Which Polish voivodeship contains a place named Kozów and a place named Trójca, but does not contain any place named Radlin?",Lower Silesian Voivodeship,multi-hop,"The question requires identifying a voivodeship that includes Kozów and Trójca while excluding Radlin. This involves comparing multiple place names across regions (steps: check Kozów's region, check Trójca's region, verify Radlin is not in the same region)."
3fef0709d8,"What was the name of the aircraft that crashed in a hamlet that was part of Berkshire until 1974, given that this crash occurred after an airfield in Suffolk, home to the 486th Bombardment Group, was handed over to the USAAF, and before an airfield in East Riding of Yorkshire, known for maintaining Thor missiles, closed?",Blackburn Beverley C.Mk 1,multi-hop,"The question requires connecting multiple pieces of information: the hamlet in Berkshire until 1974, the handover of a Suffolk airfield to the USAAF, the closure of a Yorks airfield with Thor missiles, and the aircraft involved in the crash between these events. This necessitates multi-step reasoning across historical facts and contextual links."
9281712c4d,"Identify the composer who studied at the Leningrad Conservatory between 1969 and 1975, if a conductor born in Leningrad, whose birth year is 8 years after this composer, had a musical contemporary who received the 'Prize of Moscow City' in September 2011 for completing a Mozart Piano Concerto Series.",Evgeni Irshai,multi-hop,"The question requires connecting multiple entities (composer, conductor, contemporary) through dates, events, and relationships. It involves inferring the composer's identity via the conductor's birth year and the contemporary's award. Multiple steps of relational reasoning are needed."
717c598464,"What was the name of the chemical compound used in the warhead of the 155mm rocket-assisted projectile that was replaced by a TNT-filled version in September 1977, if the caliber itself was standardized exactly 48 years before the Romanian company, originally known as 'Machinery and Foundry Factory Dumitru Voina', was founded?",Composition B,multi-hop,"The question requires multiple steps to solve. It connects information about a chemical compound used in a military projectile to the standardization of a caliber 48 years before a Romanian company's founding. Solving it requires: (1) identifying the Romanian company, (2) determining its founding year, (3) calculating the standardization year (founding year - 48), and (4) finding the chemical compound used in the warhead before 1977. This sequential reasoning makes it multi-hop."
b6f732eed7,"An American ice hockey player, born on the same day of the year as a Canadian player who played for the Chicago Black Hawks in the 1943-44 season, was drafted by the San Jose Sharks in 2023. What is the birth year of another American player, also drafted by the San Jose Sharks, who is known for growing up in Germany and speaking fluent German?",1999,multi-hop,"The question requires connecting multiple pieces of information: identifying the Canadian player from Chicago Black Hawks (1943-44), linking the shared birth date to the first American player, and then finding another American player with specific background traits (Germany, fluent German), and finally determining their birth year. This requires multiple steps of reasoning and cross-referencing data from different sources."
f6b8074948,"What was the name of the French Resistance member, known by an alias, who was arrested in September 1943 in a French city, and later imprisoned in Auschwitz, a camp from which a Polish officer had escaped five months earlier after documenting its atrocities, while another extermination camp, directed by a former SS commander who was later acquitted in Hamburg, had ceased operations eight months prior?",Jean Burger,multi-hop,"The question requires connecting multiple historical facts: a French Resistance member arrested in 1943, a Polish officer escaping Auschwitz five months earlier, and another extermination camp shutting down eight months prior. Identifying the correct alias/name involves linking these events and timelines, necessitating multi-step reasoning."
a6df85b124,"Identify the artist who achieved their first number-one album more than 30 years into their career, in the same year that a song which spent exactly eleven weeks on the Svensktoppen chart and peaked at number 8 on the Swedish singles chart was released. This artist's achievement occurred two years after a different song, which also reached number 8 on the UK Singles Chart, topped the Billboard Hot Dance Airplay chart.",Jimmy Buffett,multi-hop,"The question requires connecting multiple specific events across different time points and charting contexts. It involves correlating a career milestone with specific song chart data from different regions and timelines, which necessitates multi-step reasoning."
b237a5b21a,"What is the name of the football club, originally established in 1923, which was found guilty of match-fixing in the 1957–58 season, the same season that Dinamo Zagreb won their third Yugoslav First League title, and which was also recently penalized with a 6-point deduction for alleged match-fixing in the 2023–24 Serbian First League, a type of scandal that led to a different club's expulsion from the Macedonian First League in 2009–10 due to an eight-year FIFA suspension?",GFK Dubočica,multi-hop,"The question requires identifying a football club that meets multiple specific criteria (establishment date, historical match-fixing guilt, recent penalties, and a related scandal involving a different club's expulsion). The answer must connect discrete facts across different time periods and contexts, necessitating multi-step reasoning. The mention of unrelated clubs (Dinamo Zagreb in 1958 and a Macedonian club in 2009–10) further confirms the need for cross-referencing multiple sources."
af2a7ade92,"What is the numerical difference between the number of years separating the forced transfer of six paintings from Martha Nathan to the Staedel Art Institute and the restitution of Henri Matisse's 'Le Mur Rose' to the heirs of Harry Fuld, and the length of Hermann Voss's tenure as director of the Sonderauftrages Linz?",68,multi-hop,"The question requires calculating the difference between two distinct time periods: 1) the years between the forced transfer of paintings and the restitution of 'Le Mur Rose', and 2) the length of Hermann Voss's directorship. Each component involves separate historical data points and calculations, necessitating multiple steps of reasoning and data retrieval."
93e510491c,"How many years after the Persian poet, who was born in Shiraz and later became a court poet for Akbar the Great, passed away, did the Iranian government's censors refuse permission to reprint a centuries-old classic poem that inspired a masnavi by the 'Parrot of India'?",420 years,multi-hop,"The question requires identifying the Persian poet (likely Hafez), determining his death year, and then establishing the year Iranian censors refused to reprint a poem (linked to 'Parrot of India' – Khusrau). This involves multiple knowledge connections across dates, historical events, and literary relationships, necessitating multi-hop reasoning."
56fbae1e68,"Identify the name of the politician who was the longest-serving Member of Parliament in his country at the time of his final electoral defeat, and who was also knighted by Queen Elizabeth II. This politician's country is different from the country where a former Prime Minister was jailed for 4 years for bribery, a crime for which he and 13 other MPs were pardoned by an acting President who himself was jailed for 3 years for the same offense.",Pupuke Robati,multi-hop,"The question requires connecting two distinct pieces of information: (1) the longest-serving MP knighted by Queen Elizabeth II, and (2) a country where a PM was jailed for bribery, with a pardon by an acting President. Resolving this demands cross-referencing unrelated facts from different countries, necessitating multi-hop reasoning."
6ceefff184,"What is the specific river into whose tributaries the mountain, officially adopted in 1906 by the U.S. Board on Geographic Names and named after a prospector, drains its precipitation runoff, considering that its naming occurred 48 years before another Alaskan mountain received its descriptive 'many colors' name, and 104 years before the Alaskan peak that was formerly the highest unnamed peak in the state was officially named after a US Senator?",Matanuska River,multi-hop,"The question requires identifying a mountain through multiple historical naming timelines (1906, +48 years, +104 years) and then determining the river into which it drains. This involves connecting disparate facts about geographic names and their relationships."
f46d54db0b,"Identify the alien protagonist of the comic series penned by a writer who also contributed to 'Hellblazer', a publication whose original artist also illustrated the alien character in 'The Bozz Chronicles', a comic series released by Epic Comics.",Rac Shade,multi-hop,"The question requires connecting multiple pieces of information: identifying the writer linked to 'Hellblazer', their contribution to another comic series, the illustrator's role, and the specific alien character. This involves multiple steps of reasoning and cross-referencing."
db65a2038f,"What is the name of the natatorium that hosted the NCAA Women's Division I Swimming and Diving Championships in the same year that the Minnesota Golden Gophers men's swimming team won a Big Ten Team Championship, and where a Big Ten Conference Diver of the Year for the host university had previously earned a first-place performance on the one-meter board?",Donald B. Canham Natatorium,multi-hop,"The question requires multiple steps: identifying the year both events (NCAA Women's Championships and Minnesota men's Big Ten title) occurred, determining the host natatorium for the NCAA event that year, and connecting it to the diver's prior one-meter board performance. This involves cross-referencing multiple facts and dependencies."
699f64519b,"Identify the bacterial genus that is strictly anaerobic and filamentous, and was isolated from thermophilic digester sludge in Niigata, Japan. This genus belongs to a family distinct from the family shared by both Shimazuella, a mesophilic and aerobic Gram-positive genus, and Kroppenstedtia.",Bellilinea,multi-hop,"The question requires identifying a bacterial genus based on multiple characteristics (strictly anaerobic, filamentous, isolated from thermophilic sludge) and comparing its family to those of Shimazuella and Kroppenstedtia, which involves cross-referencing distinct pieces of taxonomic information. This multi-step reasoning necessitates connecting separate facts."
e5d4534bde,"What is the title of the major label debut album by an indie/rock band from Patras, Greece, that was released in the year prior to a Louisville-based musical collective recording their first album of original music, and six years before a multicultural hip hop group from Switzerland released their debut studio album?",Flood,multi-hop,The question requires connecting multiple entities and their respective events (three different bands and their album release years) to determine the title of the major label debut album. This involves multi-step reasoning by linking the timeline of releases across different genres and locations.
cf596144cf,"What is the name of the U.S. state that contains a city sharing its name with a location in Arkansas, and also has multiple communities named Blair, but is not one of the states that contain a Braytown?",West Virginia,multi-hop,"The question requires multiple steps of reasoning: 1) Identifying a U.S. state with a city sharing a name with an Arkansas location, 2) Confirming the state has multiple 'Blair' communities, and 3) Excluding states with 'Braytown'. This interdependent reasoning across different geographic data points classifies it as multi-hop."
1d9b7f7f6a,"What is the name of the museum in Sapporo, Japan, that opened 14 years before a museum in Abashiri, Hokkaido, which shares a focus on the Nivkh people with a museum on a Russian island whose architect was Kaizuka Yoshio?",Hokkaido Museum of Modern Art,multi-hop,"The question requires connecting multiple pieces of information about different museums, their locations, opening years, focus on Nivkh people, and an architect's involvement. This involves several steps of reasoning and data integration."
ec41613813,"Identify the American literary scholar who served as provost of Swarthmore College from 1974 to 1979 and authored a book about his World War II combat experience. This individual passed away 24 years after a Shakespearean biographer who directed the Center for Renaissance and Baroque Studies, and 25 years after a German dramatist known for his postmodern plays.",Harold E. Pagliaro,multi-hop,"The question requires multiple steps of reasoning by connecting the American literary scholar's death to the death dates of two other distinct individuals (a Shakespearean biographer and a German dramatist). This necessitates cross-referencing biographical data across separate historical figures, making it multi-hop."
df744d2e88,"What is the name of the pet elephant in the American live-action puppet series that premiered 46 years after a Swedish/West German film, based on Astrid Lindgren's books, was released in the US, and was first aired 28 years after a Japanese animated series called 'Aoki Densetsu Shoot!' debuted?",Gregory,multi-hop,"The question requires connecting multiple pieces of information: the Swedish/West German film based on Astrid Lindgren's books, the Japanese animated series debut, and the American puppet series premiere dates. It involves temporal calculations and cross-referencing different media, necessitating multi-step reasoning."
0ac194486c,"Identify the German retail group, headquartered in Karlsruhe, that was sold to an American supermarket chain in the year preceding the pilot opening of the first convenience shop by the UK's second largest supermarket chain in Hammersmith, and four years before the parent company of a chain of entertainment retail stores (known for selling VHS, DVDs, and video games, and whose loyalty program also worked at Sam Goody stores) was purchased by a major consumer electronics retailer.",Wertkauf,multi-hop,"The question requires connecting multiple events across different time frames and entities: identifying a German retail group sold by an American chain, linked to the opening of a UK convenience store and the acquisition of an entertainment retail chain. This involves multi-step reasoning and cross-referencing several facts."
b294ffb638,"In what year did the French basketball player born in Guadeloupe, who had 113 caps with the national team, receive the French 2nd Division French Player's MVP award, if this year was 8 years after another French player competed in the 1984 Summer Olympics and was inducted into the French Basketball Hall of Fame in 2008, and also 9 years after a third French player, also born in Guadeloupe, concluded his national team career of 250 caps?",1992,multi-hop,The question requires calculating the year by connecting two separate timelines: 8 years after the 1984 Olympics (1984 + 8 = 1992) and 9 years after another player's career end (1992 - 9 = 1983). This multi-step reasoning across different facts makes it multi-hop.
5c0442d9a3,"Identify the individual who, approximately two decades after a King of Tyrone whose son later founded the lordship of Clandeboye was killed in battle, established his lordship in a county where, over a century later, a bandit leader attempted to set up a sovereign state.",Roger Mortimer,multi-hop,"This question requires connecting multiple historical events and figures across different timelines. It involves identifying the King of Tyrone, his son's foundational role in Clandeboye, the individual two decades after the king's death, and the subsequent bandit leader's actions over a century later. Each step depends on linking distinct entities and events, necessitating multi-hop reasoning."
a9953a6615,"What is the name of the city in Illinois where the US Army corps, which performed occupation duty in Yokohama after the Japanese surrender and was disbanded in Mito, was activated, if a Japanese infantry division that was assigned to the 34th Army in July 1944 and later moved to Manchukuo without fighting the Soviet army until Japan's surrender, was under the command of a general who died in Sendai?",Chicago,multi-hop,"The question requires connecting multiple pieces of information across different timelines and units, such as the US Army corps' activation location in Illinois, movements of a Japanese infantry division, command structure, and death location of a general. This involves multi-step reasoning and cross-referencing disparate facts."
8908f2e075,"What was the academic field of study of the individual who, on May 23, 1995, became the first Welshman to reach the summit of Mount Everest, a climb that occurred in the same year as the first Turkish ascent of Everest, and exactly 15 years after the first winter ascent of that same mountain?",Marine biology,multi-hop,"The question requires identifying the individual (first Welshman to climb Everest on May 23, 1995, contextually tied to the Turkish ascent and the 15th anniversary of the winter ascent), then determining their academic field of study. This involves multiple steps of information retrieval and context linking."
77c95f87fd,"Which Louisiana parish school board, known for achieving the fifth-highest rate of improvement statewide in Algebra I and English II end-of-course examinations during the 2012–2013 school year, is situated in a state that also contains a high school with the third-smallest enrollment statewide, and within a country where another school district explicitly permits parents to opt out of mandatory uniform policies due to bona fide philosophical objections?",Jackson Parish School Board,multi-hop,The question requires identifying a Louisiana parish school board based on specific academic rankings and then verifying additional conditions about the state's high school enrollment and a country-level policy. This multi-step reasoning involves connecting different pieces of information across entities and locations. Classifying as multi-hop.
c17e5c7307,"Identify the name of the member of the boy band who produced their album, if one of the band's songs was censored around the same time as Homme's 'I Was Able to Eat Well', and the album's lead single peaked at number 2 on the Gaon Digital Chart in the year that Exo's 'XOXO Repackage (Korean Version)' was the best-selling album on the Gaon Album Chart.",Yong Jun-hyung,multi-hop,"The question requires multiple steps of reasoning: it connects the censorship of a song to a specific timeline related to another artist's work (Homme), and then correlates the album's lead single's chart performance with Exo's best-selling album year. Answering this demands cross-referencing distinct facts from different contexts, necessitating multi-hop reasoning."
