problem,type
What year was Euless Trinity High School in a Gatorade commercial?,one-hop
Which record label gave some of its assets to the record label with an artist named The Ramrods in 1961?,multi-hop
What is the longest song on Amanda Palmer's first solo album?,multi-hop
"Which church in Scania, Sweden, designed by the architect of AB Börringekloster Huvudgård and Öved Kyrka, was inaugurated in 1788?",multi-hop
"Which Sheffield United footballer, who was club captain in the 1930-31 season and later coached Sheffield Wednesday, had a playing career at the club that began after another player made guest appearances during World War I and earned an FA Cup losers medal in 1912, and whose time at the club concluded before a third player made 40 appearances in the season the Blades won promotion to the First Division and also played first-class cricket?",multi-hop
"What was the name of the technical institute where the British set decorator, art director, and production designer who worked as an art director for the film The Spy Who Loved Me was educated?",multi-hop
What is the date of birth for the persons who were writers for both South Park and Modern Family?,multi-hop
"Before 1997, who designed the costumes for the films that Kevin Spacey directed?",multi-hop
What is the name of the organization that awarded the artist who recorded 'A. Shurbin Sonata Nr 3 Walk through njeskutchny sad' the Merit Award in 2008?,multi-hop
Which of the five sovereign nations that don't have any airports has the longest railway?,multi-hop
What was the name of the defunct airport that was located in the area that is now zip code 63010?,multi-hop
What was the name of the goldsmith in charge of marking the devalued placks with a heart and star associated with the same name as the birthplace of Lawrence Adamson in March 1574?,multi-hop
Find the person who did the set decoration for the most recently released film that Daisy Duke appeared in.,multi-hop
"In the video game with the same name as the song by Of Lions and Giants, what type of structure is damaged in a nuclear war and holds 1000 survivors in stasis?",multi-hop
In which country is the capital and chief port that was badly damaged during the Lebanese civil war of 1975-89 located?,multi-hop
What was added to the coat of arms of the birthplace of Antonio Lara Zárate after the victory over the English in 1706?,multi-hop
"In the films released in 2013-09-19 where Elon Musk appeared as an actor, who were the cinematographers?",multi-hop
In which city was the person born on 1865-06-14 with the name Adriaan Schade van Westrum born?,one-hop
"What is the name of the record label that released the single ""Syd’s Eyes"" by the band which recorded the song ""Harlem""?",one-hop
Which football club won their first FA Cup title after beating the team with the same name as the artist who recorded the song 'Free the Fighters' in the final?,multi-hop
What was the name of Blue Devils A's tour the year that BDB's 2016 director retired?,multi-hop
"What is the family of the monotypic genus of planthoppers found in the Iberian Peninsula, if its genus was described 25 years before the species of a monotypic butterfly genus endemic to Tibet and West China was described, and this butterfly genus belongs to the same order as a monotypic tiger moth genus found in West Africa and Kenya?",multi-hop
"In which administrative district, called Gmina, is the village where Jacob Fishman was born located?",one-hop
who won the NFL MVP the year John Kerry lost the presidential election,multi-hop
"In the opera with the same name as the recordings by artists Zoltar and Ohmns, which city is the setting for the action?",multi-hop
Bill Clinton acted in a film. What is the name of the female actor who played the character Sasha in that film which was released the earliest?,multi-hop
What is the postal code associated with the island which has an area of 0.13557 square kilometers?,multi-hop
"For the person who had the most followed Instagram account in 2017, how many solo studio albums did they release prior to this accomplishment?",multi-hop
Which Japanese animation studio adapted the written work edited and authored by Paul Gallico into a feature-length TV special in 1979?,multi-hop
Which song by Queen did the artist who recorded the track Pusong Bato (Minus One) perform during the finals of Pilipinas Got Talent?,multi-hop
What is the name of the square near which Sergey Zhuravlev lives in a communal apartment in the film with the synopsis 'Three lifelong friends return to Moscow after their military service'?,multi-hop
"Which student newspaper, founded 32 years before The Cambridge Student, was relaunched in the same year that a new student organization was officially launched at Macquarie University?",multi-hop
How old was Tig Notaro when the Expos left Montreal?,multi-hop
"What is the recommended English name for the gilled mushroom that is globally endangered on the IUCN Red List, and is found on the same continent as an inedible earth tongue fungus critically endangered in Denmark, and also a yellow-green moss with crowded, keeled leaves?",multi-hop
"In the movie which contains the album with 4 primary release tracks, what is the name of the character who is the nephew of ""well-done"" Vasu?",multi-hop
Which tennis player partnered with the mother of Jagger Leach to win the doubles title at the 1995 Nichirei International Championships?,multi-hop
Who designed the production of the films released in 2012-08-24 and featuring Holly Willoughby as an actor?,multi-hop
Determine the art director who worked on both Gladiator II and The Hills Have Eyes.,multi-hop
"What is the birthplace of the mathematician who co-founded the Austrian Mathematical Society, and whose death occurred one year after a major work by another mathematician born in a city that is now in Poland was posthumously published? This posthumous publication happened during the period when a third mathematician, known for authoring 'A Modern View of Geometry', was a visiting scholar at the Institute for Advanced Study.",multi-hop
"In which country is the village named Tsetse, North West located, which has the same name as the artist that recorded the track 'Dream'?",multi-hop
