example_id,problem,gold answer
58fed8b1f5,"What was the population of the Nicosia neighbourhood of Ayios Loukas in 2011, if its church was restored two years before an ethnographic museum in North Nicosia opened its doors, and the funeral of an Archbishop of Cyprus, who died in 1947, took place in Nicosia?",489
e16235c9d5,"How old was the founder of the International School of Traditional Aikido, who trained under a direct student of Morihei Ueshiba sent to France, when the Swedish aikido pioneer who was influenced by Sadateru Arikawa, received his 7th dan?",56
a0579c1528,"How many years after the 24th Vice President of Bolivia was elected by the 1938 National Convention was the forestry engineer, who later served as Minister of Hydrocarbons from 2019 to 2020, born?",32
8271349feb,"Identify the dam that is located in the same prefecture as a rockfill dam completed in 1972, shares its completion year with a gravity dam in Gunma Prefecture, and serves the dual purposes of power generation and irrigation.",Naruko Dam
a14da28850,"What is the name of the city where an art academy initially rejected a landscape painter who later became a professor there and died of cholera; where another painter, who studied at the same academy starting on May 12, 1819, later became a general restorer at the Royal Museum in Berlin; and where a third painter, known for his homages to Albrecht Dürer, also studied at that same academy?",Munich
fcd3092e86,"What is the name of the Indian district that has a comparatively cool and humid climate, a population of 1,586,625 according to the 2011 census, and was the constituency from which a future President of India was elected in 1980? This district's climate differs from the subtropical steppe climate of the second-largest city in Pakistan, and its 2011 population is significantly higher than the city known for Asia's largest grain market, which had a population of 128,130 in the same year.",Hoshiarpur district
347421734e,"What Italian club, which reached the quarter-finals of the 1965–66 Coppa Italia, was defeated in the final of the European Cup season where the winning team became the first to lift the trophy with its current design?",Inter Milan
e824c40b5e,"Identify the Australian comedic music trio whose 2003 show won The Age Critic's Choice Award at a festival, a festival also frequently attended by a comedian born in Melbourne in 1978 who was a finalist in a national competition whose winner is sent to another festival where the trio also performed.",GUD
f1a0f25bc6,"What is the name of the Australian city where a Congregational minister, who was Dux of Newington College in 1888, had a three-year ministry, and where an Anglican bishop, who later presided over the Diocese of Gippsland, was previously an archdeacon? A different Anglican bishop, who was the sixth Bishop of Bendigo, also served as precentor in this same city.",Hobart
4b6c6a4e93,"Which Polish voivodeship contains a place named Kozów and a place named Trójca, but does not contain any place named Radlin?",Lower Silesian Voivodeship
3fef0709d8,"What was the name of the aircraft that crashed in a hamlet that was part of Berkshire until 1974, given that this crash occurred after an airfield in Suffolk, home to the 486th Bombardment Group, was handed over to the USAAF, and before an airfield in East Riding of Yorkshire, known for maintaining Thor missiles, closed?",Blackburn Beverley C.Mk 1
9281712c4d,"Identify the composer who studied at the Leningrad Conservatory between 1969 and 1975, if a conductor born in Leningrad, whose birth year is 8 years after this composer, had a musical contemporary who received the 'Prize of Moscow City' in September 2011 for completing a Mozart Piano Concerto Series.",Evgeni Irshai
717c598464,"What was the name of the chemical compound used in the warhead of the 155mm rocket-assisted projectile that was replaced by a TNT-filled version in September 1977, if the caliber itself was standardized exactly 48 years before the Romanian company, originally known as 'Machinery and Foundry Factory Dumitru Voina', was founded?",Composition B
b6f732eed7,"An American ice hockey player, born on the same day of the year as a Canadian player who played for the Chicago Black Hawks in the 1943-44 season, was drafted by the San Jose Sharks in 2023. What is the birth year of another American player, also drafted by the San Jose Sharks, who is known for growing up in Germany and speaking fluent German?",1999
f6b8074948,"What was the name of the French Resistance member, known by an alias, who was arrested in September 1943 in a French city, and later imprisoned in Auschwitz, a camp from which a Polish officer had escaped five months earlier after documenting its atrocities, while another extermination camp, directed by a former SS commander who was later acquitted in Hamburg, had ceased operations eight months prior?",Jean Burger
a6df85b124,"Identify the artist who achieved their first number-one album more than 30 years into their career, in the same year that a song which spent exactly eleven weeks on the Svensktoppen chart and peaked at number 8 on the Swedish singles chart was released. This artist's achievement occurred two years after a different song, which also reached number 8 on the UK Singles Chart, topped the Billboard Hot Dance Airplay chart.",Jimmy Buffett
b237a5b21a,"What is the name of the football club, originally established in 1923, which was found guilty of match-fixing in the 1957–58 season, the same season that Dinamo Zagreb won their third Yugoslav First League title, and which was also recently penalized with a 6-point deduction for alleged match-fixing in the 2023–24 Serbian First League, a type of scandal that led to a different club's expulsion from the Macedonian First League in 2009–10 due to an eight-year FIFA suspension?",GFK Dubočica
af2a7ade92,"What is the numerical difference between the number of years separating the forced transfer of six paintings from Martha Nathan to the Staedel Art Institute and the restitution of Henri Matisse's 'Le Mur Rose' to the heirs of Harry Fuld, and the length of Hermann Voss's tenure as director of the Sonderauftrages Linz?",68
93e510491c,"How many years after the Persian poet, who was born in Shiraz and later became a court poet for Akbar the Great, passed away, did the Iranian government's censors refuse permission to reprint a centuries-old classic poem that inspired a masnavi by the 'Parrot of India'?",420 years
56fbae1e68,"Identify the name of the politician who was the longest-serving Member of Parliament in his country at the time of his final electoral defeat, and who was also knighted by Queen Elizabeth II. This politician's country is different from the country where a former Prime Minister was jailed for 4 years for bribery, a crime for which he and 13 other MPs were pardoned by an acting President who himself was jailed for 3 years for the same offense.",Pupuke Robati
6ceefff184,"What is the specific river into whose tributaries the mountain, officially adopted in 1906 by the U.S. Board on Geographic Names and named after a prospector, drains its precipitation runoff, considering that its naming occurred 48 years before another Alaskan mountain received its descriptive 'many colors' name, and 104 years before the Alaskan peak that was formerly the highest unnamed peak in the state was officially named after a US Senator?",Matanuska River
f46d54db0b,"Identify the alien protagonist of the comic series penned by a writer who also contributed to 'Hellblazer', a publication whose original artist also illustrated the alien character in 'The Bozz Chronicles', a comic series released by Epic Comics.",Rac Shade
db65a2038f,"What is the name of the natatorium that hosted the NCAA Women's Division I Swimming and Diving Championships in the same year that the Minnesota Golden Gophers men's swimming team won a Big Ten Team Championship, and where a Big Ten Conference Diver of the Year for the host university had previously earned a first-place performance on the one-meter board?",Donald B. Canham Natatorium
699f64519b,"Identify the bacterial genus that is strictly anaerobic and filamentous, and was isolated from thermophilic digester sludge in Niigata, Japan. This genus belongs to a family distinct from the family shared by both Shimazuella, a mesophilic and aerobic Gram-positive genus, and Kroppenstedtia.",Bellilinea
e5d4534bde,"What is the title of the major label debut album by an indie/rock band from Patras, Greece, that was released in the year prior to a Louisville-based musical collective recording their first album of original music, and six years before a multicultural hip hop group from Switzerland released their debut studio album?",Flood
cf596144cf,"What is the name of the U.S. state that contains a city sharing its name with a location in Arkansas, and also has multiple communities named Blair, but is not one of the states that contain a Braytown?",West Virginia
1d9b7f7f6a,"What is the name of the museum in Sapporo, Japan, that opened 14 years before a museum in Abashiri, Hokkaido, which shares a focus on the Nivkh people with a museum on a Russian island whose architect was Kaizuka Yoshio?",Hokkaido Museum of Modern Art
ec41613813,"Identify the American literary scholar who served as provost of Swarthmore College from 1974 to 1979 and authored a book about his World War II combat experience. This individual passed away 24 years after a Shakespearean biographer who directed the Center for Renaissance and Baroque Studies, and 25 years after a German dramatist known for his postmodern plays.",Harold E. Pagliaro
df744d2e88,"What is the name of the pet elephant in the American live-action puppet series that premiered 46 years after a Swedish/West German film, based on Astrid Lindgren's books, was released in the US, and was first aired 28 years after a Japanese animated series called 'Aoki Densetsu Shoot!' debuted?",Gregory
0ac194486c,"Identify the German retail group, headquartered in Karlsruhe, that was sold to an American supermarket chain in the year preceding the pilot opening of the first convenience shop by the UK's second largest supermarket chain in Hammersmith, and four years before the parent company of a chain of entertainment retail stores (known for selling VHS, DVDs, and video games, and whose loyalty program also worked at Sam Goody stores) was purchased by a major consumer electronics retailer.",Wertkauf
b294ffb638,"In what year did the French basketball player born in Guadeloupe, who had 113 caps with the national team, receive the French 2nd Division French Player's MVP award, if this year was 8 years after another French player competed in the 1984 Summer Olympics and was inducted into the French Basketball Hall of Fame in 2008, and also 9 years after a third French player, also born in Guadeloupe, concluded his national team career of 250 caps?",1992
5c0442d9a3,"Identify the individual who, approximately two decades after a King of Tyrone whose son later founded the lordship of Clandeboye was killed in battle, established his lordship in a county where, over a century later, a bandit leader attempted to set up a sovereign state.",Roger Mortimer
a9953a6615,"What is the name of the city in Illinois where the US Army corps, which performed occupation duty in Yokohama after the Japanese surrender and was disbanded in Mito, was activated, if a Japanese infantry division that was assigned to the 34th Army in July 1944 and later moved to Manchukuo without fighting the Soviet army until Japan's surrender, was under the command of a general who died in Sendai?",Chicago
8908f2e075,"What was the academic field of study of the individual who, on May 23, 1995, became the first Welshman to reach the summit of Mount Everest, a climb that occurred in the same year as the first Turkish ascent of Everest, and exactly 15 years after the first winter ascent of that same mountain?",Marine biology
77c95f87fd,"Which Louisiana parish school board, known for achieving the fifth-highest rate of improvement statewide in Algebra I and English II end-of-course examinations during the 2012–2013 school year, is situated in a state that also contains a high school with the third-smallest enrollment statewide, and within a country where another school district explicitly permits parents to opt out of mandatory uniform policies due to bona fide philosophical objections?",Jackson Parish School Board
c17e5c7307,"Identify the name of the member of the boy band who produced their album, if one of the band's songs was censored around the same time as Homme's 'I Was Able to Eat Well', and the album's lead single peaked at number 2 on the Gaon Digital Chart in the year that Exo's 'XOXO Repackage (Korean Version)' was the best-selling album on the Gaon Album Chart.",Yong Jun-hyung
d9d31ac525,"Identify the Indian Mexican academic, born in Mexico and cousin to Kamala Harris, whose debut book on piracy and personhood in American literature was published 33 years after the first novel by a Mexican author became a U.S. bestseller, and approximately 58 years after the term 'Latino literature' originated during the Chicano Movement.",Sharada Balachandran Orihuela
ff7b419dd3,"What was the name of the German U-boat commander who sank a coal freighter in 1917, where this sinking occurred in the same war that saw a US cargo ship, whose captain received the Medal of Honor, sunk by a German submarine, and also saw a British officer achieve the unique feat of sinking a German U-boat with a sailing vessel?",Ernst Hashagen
